,gameId,playId,quarter,GameClock,down,yardsToGo,yardlineSide,yardlineNumber,offenseFormation,personnel.offense,defendersInTheBox,numberOfPassRushers,personnel.defense,HomeScoreBeforePlay,VisitorScoreBeforePlay,HomeScoreAfterPlay,VisitorScoreAfterPlay,isPenalty,PassLength,PassResult,YardsAfterCatch,PlayResult,playDescription,firstDown_Conversion
158,2017091004,4322,4,02:27:00,4,2,DET,30.0,SINGLEBACK,"1 RB, 0 TE, 4 WR",7.0,,"4 DL, 1 LB, 6 DB",35,17,35,17,False,,,,2,(2:27) (No Huddle) C.Palmer up the middle to DET 28 for 2 yards (J.Davis).,1.0
187,2017090700,653,1,09:34:00,4,1,KC,10.0,SINGLEBACK,"6 OL, 1 RB, 2 TE, 1 WR",9.0,,"3 DL, 4 LB, 4 DB",7,0,7,0,False,,,,0,"(9:34) N.Solder reported in as eligible.  M.Gillislee up the middle to KC 10 for no gain (A.Bailey, B.Logan).",0.0
307,2017090700,3874,4,12:29:00,4,1,KC,40.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",10.0,,"4 DL, 4 LB, 3 DB",27,28,27,28,False,,,,0,(12:29) N.Solder reported in as eligible.  M.Gillislee up the middle to KC 40 for no gain (F.Zombo; J.Houston).,0.0
449,2017091003,2796,3,02:03:00,4,2,PIT,42.0,SHOTGUN,"2 RB, 1 TE, 2 WR",5.0,4.0,"2 DL, 3 LB, 6 DB",10,21,10,21,False,2.0,C,4.0,6,(2:03) (Shotgun) D.Kizer pass short left to S.DeValve to PIT 36 for 6 yards (W.Gay).,1.0
478,2017091003,3545,4,03:40:00,4,2,PIT,3.0,EMPTY,"2 RB, 1 TE, 2 WR",5.0,4.0,"2 DL, 4 LB, 5 DB",10,21,16,21,True,3.0,C,0.0,3,"(3:40) (Shotgun) D.Kizer pass short left to C.Coleman for 3 yards, TOUCHDOWN. PIT-J.Wilcox was injured during the play.  PENALTY on PIT-J.Wilcox, Unnecessary Roughness, 15 yards, enforced between downs.",1.0
611,2017091002,3484,4,04:43:00,4,5,BAL,13.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"2 DL, 4 LB, 5 DB",0,20,0,20,False,13.0,I,,0,(4:43) (Shotgun) A.Dalton pass incomplete short right [M.Judon]. {thrown away},0.0
733,2017091000,3084,3,02:06:00,4,1,BUF,1.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"3 DL, 3 LB, 5 DB",14,6,14,12,False,,,,1,"(2:06) J.McCown up the middle for 1 yard, TOUCHDOWN.",1.0
915,2017091001,3734,4,00:46:00,4,3,ATL,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"3 DL, 3 LB, 5 DB",17,23,17,23,False,12.0,C,2.0,14,(:46) (Shotgun) M.Glennon pass short middle to J.Bellamy to ATL 28 for 14 yards (D.Trufant).,1.0
922,2017091001,3984,4,00:08:00,4,5,ATL,5.0,SHOTGUN,"1 RB, 2 TE, 2 WR",8.0,4.0,"3 DL, 4 LB, 4 DB",17,23,17,23,False,,S,,-9,(:08) (Shotgun) M.Glennon sacked at ATL 14 for -9 yards (B.Reed).,0.0
955,2017091007,825,1,00:45:00,4,1,TEN,3.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"2 DL, 4 LB, 5 DB",7,7,7,7,False,,,,1,(:45) M.Lynch right guard to TEN 2 for 1 yard (W.Woodyard).,1.0
1231,2017091008,4082,4,00:30:00,4,2,PHI,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 2 LB, 5 DB",17,30,17,30,False,2.0,I,,0,(:30) (Shotgun) K.Cousins pass incomplete short right to J.Reed.,0.0
1299,2017091005,1724,2,02:14:00,4,1,HOU,1.0,JUMBO,"6 OL, 2 RB, 2 TE, 0 WR",10.0,,"4 DL, 4 LB, 3 DB",0,6,0,12,False,,,,1,"(2:14) L.Fournette up the middle for 1 yard, TOUCHDOWN.",1.0
1385,2017091005,4122,4,01:15:00,4,5,HOU,16.0,SHOTGUN,"2 RB, 0 TE, 3 WR",6.0,6.0,"3 DL, 3 LB, 5 DB",7,29,7,29,False,,S,,-2,(1:15) (Shotgun) D.Watson sacked at HST 14 for -2 yards (sack split by C.Campbell and L.McCray).,0.0
1603,2017091009,1756,2,03:14:00,4,7,LA,40.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,5.0,"3 DL, 3 LB, 5 DB",24,3,24,3,False,14.0,I,,0,(3:14) (Shotgun) S.Tolzien pass incomplete short middle to J.Doyle.,0.0
1735,2017091011,1499,2,06:32:00,4,4,CAR,44.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"3 DL, 3 LB, 5 DB",0,7,0,7,False,,S,,-8,(6:32) (Shotgun) B.Hoyer sacked at SF 48 for -8 yards (T.Davis).,0.0
1750,2017091011,1893,2,00:46:00,4,1,CAR,45.0,I_FORM,"2 RB, 1 TE, 2 WR",6.0,,"3 DL, 3 LB, 5 DB",0,10,0,10,False,,,,0,(:46) K.Juszczyk up the middle to CAR 45 for no gain (S.Lotulelei; W.Horton).,0.0
1789,2017091011,2882,3,01:19:00,4,3,SF,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,6.0,"3 DL, 3 LB, 5 DB",0,23,0,23,True,6.0,C,16.0,22,"(1:19) (Shotgun) B.Hoyer pass short left to P.Garcon to CAR 30 for 22 yards (L.Kuechly). Penalty on CAR-D.Worley, Defensive Holding, declined. Caught at CAR 46.  16-yds YAC",1.0
1807,2017091011,3493,4,08:54:00,4,1,CAR,1.0,EMPTY,"1 RB, 1 TE, 3 WR",6.0,,"4 DL, 2 LB, 5 DB",3,23,3,23,False,,,,0,(8:54) C.Hyde right end to CAR 1 for no gain (T.Davis).,0.0
1966,2017091012,3823,4,00:32:00,4,5,NYG,45.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 1 LB, 6 DB",19,3,19,3,False,-4.0,C,10.0,6,(:32) (Shotgun) E.Manning pass short right to S.Vereen to DAL 49 for 6 yards (J.Heath).,1.0
2193,2017091701,1953,3,12:39:00,4,1,CAR,44.0,I_FORM,"2 RB, 1 TE, 2 WR",8.0,,"4 DL, 3 LB, 4 DB",6,0,6,0,False,,,,-1,(12:39) L.McCoy left end to CAR 45 for -1 yards (T.Davis).,0.0
2257,2017091701,3630,4,00:14:00,4,11,CAR,33.0,EMPTY,"1 RB, 1 TE, 3 WR",4.0,4.0,"4 DL, 2 LB, 5 DB",9,3,9,3,False,31.0,I,,0,(:14) (Shotgun) T.Taylor pass incomplete deep right to Z.Jones.,0.0
2489,2017091705,2059,2,02:27:00,4,3,NE,25.0,EMPTY,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 1 LB, 6 DB",13,27,13,27,False,25.0,I,,0,(2:27) (Shotgun) D.Brees pass incomplete deep right to T.Ginn.,0.0
2554,2017091705,3932,4,07:19:00,4,1,NE,42.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,,"4 DL, 3 LB, 4 DB",13,36,13,36,False,,,,2,(7:19) A.Peterson left end pushed ob at NE 40 for 2 yards (E.Roberts).,1.0
2616,2017091702,989,2,13:05:00,4,1,IND,1.0,I_FORM,"1 RB, 1 TE, 3 WR",8.0,4.0,"2 DL, 4 LB, 5 DB",10,0,10,0,False,1.0,I,,0,(13:05) (Pass formation) C.Palmer pass incomplete short right to L.Fitzgerald.,0.0
2854,2017092408,3170,4,13:32:00,4,10,NYJ,21.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",20,0,20,0,False,21.0,I,,0,(13:32) (Shotgun) J.Cutler pass incomplete deep right to J.Landry (M.Claiborne).,0.0
2865,2017092408,3462,4,07:41:00,4,6,NYJ,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,6.0,"2 DL, 4 LB, 5 DB",20,0,20,0,False,3.0,C,1.0,4,(7:41) (Shotgun) J.Cutler pass short middle to D.Parker to NYJ 38 for 4 yards (J.Stanford).,0.0
3165,2017091707,3249,4,09:32:00,4,10,TB,14.0,EMPTY,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",29,0,29,0,False,4.0,I,,0,(9:32) (Shotgun) M.Glennon pass incomplete short middle to Z.Miller [G.McCoy].,0.0
3176,2017091707,3498,4,05:42:00,4,3,TB,7.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,7.0,"4 DL, 2 LB, 5 DB",29,0,29,0,False,7.0,I,,0,(5:42) (Shotgun) M.Glennon pass incomplete short right to Z.Miller (C.Conte).,0.0
3265,2017091708,1935,2,00:02:00,4,6,MIA,48.0,SHOTGUN,"1 RB, 3 TE, 1 WR",5.0,2.0,"3 DL, 2 LB, 5 DB, 1 WR",10,3,10,3,False,42.0,I,,0,(:02) (Shotgun) J.Cutler pass incomplete deep right to K.Stills.,0.0
3496,2017091700,4164,4,01:35:00,4,11,BAL,38.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"1 DL, 4 LB, 6 DB",24,10,24,10,False,8.0,C,4.0,12,(1:35) (Shotgun) D.Kizer pass short middle to S.DeValve to BLT 26 for 12 yards (C.Mosley).,1.0
3500,2017091700,4262,4,00:32:00,4,7,BAL,23.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,5.0,"1 DL, 4 LB, 6 DB",24,10,24,10,False,9.0,I,,0,(:32) (Shotgun) D.Kizer pass incomplete short middle to S.Coates [T.Williams].,0.0
3612,2017091101,2730,4,12:02:00,4,1,DEN,48.0,I_FORM,"6 OL, 2 RB, 1 TE, 1 WR",9.0,,"3 DL, 4 LB, 4 DB",24,7,24,7,False,,,,-2,(12:02) C.Hairston reported in as eligible.  M.Gordon up the middle to 50 for -2 yards (T.Davis).,0.0
3646,2017091101,3656,4,00:42:00,4,1,LAC,47.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,,"2 DL, 3 LB, 6 DB",24,21,24,21,False,,,,2,(:42) (Shotgun) M.Gordon up the middle to LAC 49 for 2 yards (V.Miller).,1.0
3912,2017091713,2985,3,01:25:00,4,5,GB,46.0,EMPTY,"1 RB, 1 TE, 3 WR",5.0,5.0,"4 DL, 2 LB, 5 DB",34,10,34,10,False,4.0,C,3.0,7,(1:25) (Shotgun) A.Rodgers pass short middle to D.Adams to ATL 47 for 7 yards (R.Allen).,1.0
3918,2017091713,3162,4,12:50:00,4,7,ATL,33.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",34,10,34,16,False,33.0,C,0.0,33,"(12:50) (Shotgun) A.Rodgers pass deep left to D.Adams for 33 yards, TOUCHDOWN.",1.0
3950,2017091713,4043,4,00:48:00,4,10,GB,12.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"4 DL, 2 LB, 5 DB",34,23,34,23,False,11.0,C,7.0,18,(:48) (Shotgun) A.Rodgers pass short middle to M.Bennett to GB 30 for 18 yards (D.Campbell).,1.0
4292,2017092400,969,2,14:21:00,4,1,BAL,39.0,I_FORM,"2 RB, 2 TE, 1 WR",9.0,,"3 DL, 4 LB, 4 DB",10,0,10,0,False,,,,6,(14:21) L.Fournette right end to BLT 33 for 6 yards (J.Smith). BLT-B.Urban was injured during the play. His return is Questionable.,1.0
4386,2017092400,3660,4,09:45:00,4,8,JAX,40.0,EMPTY,"1 RB, 1 TE, 3 WR",7.0,5.0,"4 DL, 2 LB, 5 DB",44,0,44,0,False,3.0,C,0.0,3,(9:45) (Shotgun) R.Mallett pass short right to J.Allen to JAX 37 for 3 yards (T.Smith).,0.0
4417,2017091712,302,1,10:53:00,4,1,SF,41.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,,"4 DL, 2 LB, 5 DB",0,0,0,0,False,,,,9,(10:53) (Shotgun) R.Wilson left end ran ob at SF 32 for 9 yards (J.Tartt).,1.0
4654,2017091400,2438,3,08:15:00,4,2,HOU,19.0,I_FORM,"1 RB, 3 TE, 1 WR",9.0,,"3 DL, 5 LB, 3 DB",6,10,6,10,False,,,,3,(8:15) J.Hill right guard to HST 16 for 3 yards (C.Moore).,1.0
4711,2017091400,3967,4,01:13:00,4,9,CIN,44.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"1 DL, 4 LB, 6 DB",9,13,9,13,False,21.0,I,,0,(1:13) (Shotgun) A.Dalton pass incomplete deep left to A.Erickson.,0.0
4865,2017091706,4248,4,02:21:00,4,15,MIN,30.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 3 LB, 6 DB",23,9,23,9,False,25.0,I,,0,"(2:21) (Shotgun) C.Keenum pass incomplete deep left to S.Diggs. Coverage by 25-Burns. Minnesota challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1 at 02:13.)",0.0
4874,2017091706,4537,4,01:00:00,4,7,MIN,28.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 3 LB, 6 DB",26,9,26,9,False,6.0,C,0.0,11,"(1:00) (No Huddle, Shotgun) C.Keenum pass short middle to A.Thielen to MIN 34 for 6 yards (W.Gay). FUMBLES (W.Gay), RECOVERED by PIT-A.Burns at MIN 39. A.Burns to MIN 39 for no gain (L.Treadwell).",1.0
4992,2017091710,3017,3,04:02:00,4,4,DAL,43.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,6.0,"1 DL, 4 LB, 6 DB",35,10,35,10,False,7.0,C,2.0,9,(4:02) (Shotgun) D.Prescott pass short middle to D.Bryant to DEN 48 for 9 yards (C.Harris).,1.0
4996,2017091710,3112,3,02:14:00,4,4,DEN,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,5.0,"2 DL, 3 LB, 6 DB",35,10,35,10,False,4.0,I,,0,(2:14) (Shotgun) D.Prescott pass incomplete short right to J.Witten [V.Miller].,0.0
5001,2017091710,3227,3,00:42:00,4,1,DEN,30.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,,"2 DL, 3 LB, 6 DB",35,10,35,10,False,,,,5,"(:42) (No Huddle, Shotgun) E.Elliott up the middle to DEN 25 for 5 yards (K.Edebali; J.Simmons).",1.0
5028,2017091710,3999,4,03:51:00,4,3,DEN,7.0,EMPTY,"1 RB, 1 TE, 3 WR",7.0,6.0,"2 DL, 3 LB, 6 DB",35,17,35,17,False,7.0,I,,0,(3:51) (Shotgun) D.Prescott pass incomplete short left to D.Bryant (B.Roby).,0.0
5041,2017091710,4414,4,01:12:00,4,6,DEN,6.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,7.0,"2 DL, 3 LB, 6 DB",35,17,41,17,False,6.0,IN,,0,"(1:12) (Shotgun) D.Prescott pass short right intended for D.Bryant INTERCEPTED by A.Talib at DEN -3. A.Talib for 103 yards, TOUCHDOWN.",0.0
5155,2017091800,2937,4,10:08:00,4,3,NYG,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"4 DL, 2 LB, 5 DB",10,24,10,24,False,2.0,C,0.0,2,"(10:08) (Shotgun) E.Manning pass short left to S.Vereen to DET 49 for 3 yards (Q.Diggs). Detroit challenged the short of the line to gain ruling, and the play was REVERSED. (Shotgun) E.Manning pass short left to S.Vereen to 50 for 2 yards (Q.Diggs).",0.0
5171,2017091800,3319,4,04:34:00,4,10,DET,29.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,3.0,"3 DL, 2 LB, 6 DB",10,24,10,24,False,8.0,I,,0,"(4:34) (No Huddle, Shotgun) E.Manning pass incomplete short right to O.Beckham.",0.0
5180,2017091800,3577,4,00:32:00,4,10,NYG,24.0,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,,"4 DL, 3 LB, 4 DB",10,24,10,24,False,,,,0,(:32) T.Riddick right tackle to NYG 24 for no gain (D.Tomlinson).,0.0
5287,2017092100,2898,3,05:44:00,4,1,LA,1.0,I_FORM,"2 RB, 3 TE, 0 WR",10.0,,"3 DL, 5 LB, 3 DB",13,27,19,27,False,,,,1,"(5:44) C.Hyde up the middle for 1 yard, TOUCHDOWN.",1.0
5340,2017092100,4401,4,02:17:00,4,1,LA,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",8.0,,"2 DL, 4 LB, 5 DB",33,41,39,41,False,,,,1,"(2:17) (Shotgun) C.Hyde right guard for 1 yard, TOUCHDOWN.",1.0
5346,2017092100,4605,4,01:50:00,4,20,SF,40.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 4 LB, 5 DB",39,41,39,41,False,,S,,-8,(1:50) (Shotgun) B.Hoyer sacked at SF 32 for -8 yards (A.Donald).,0.0
5672,2017092401,4569,4,01:55:00,4,4,BUF,42.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"3 DL, 3 LB, 5 DB",26,16,26,16,False,22.0,I,,0,"(1:55) (Shotgun) T.Siemian pass incomplete deep left to E.Sanders. Underthrown, receiver at BUF 20, crossing to middle.",0.0
5849,2017100104,752,1,01:44:00,4,1,LA,29.0,SINGLEBACK,"1 RB, 3 TE, 1 WR",8.0,,"3 DL, 5 LB, 3 DB",3,3,3,3,False,,,,4,(1:44) E.Elliott up the middle to LA 25 for 4 yards (M.Barron).,1.0
5986,2017100104,4341,4,00:36:00,4,10,LA,48.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 4 LB, 5 DB",30,35,30,35,False,3.0,C,6.0,9,(:36) (Shotgun) D.Prescott pass short right to E.Elliott to LA 39 for 9 yards (J.Johnson).,0.0
6116,2017092413,3392,4,05:18:00,4,3,OAK,32.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,,"2 DL, 4 LB, 5 DB",27,10,27,10,False,,R,,6,(5:18) (Shotgun) D.Carr scrambles left guard to OAK 38 for 6 yards.,1.0
6120,2017092413,3543,4,03:25:00,4,23,OAK,25.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,4.0,"2 DL, 4 LB, 5 DB",27,10,27,10,False,9.0,C,0.0,12,"(3:25) (Shotgun) D.Carr pass short left to S.Roberts to OAK 34 for 9 yards (K.Fuller). FUMBLES (K.Fuller), RECOVERED by WAS-M.Spaight at OAK 37. M.Spaight pushed ob at OAK 37 for no gain (L.Smith).",0.0
6273,2017100102,3789,4,05:48:00,4,12,PIT,47.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,4.0,"2 DL, 3 LB, 6 DB",9,19,9,19,False,15.0,IN,,0,(5:48) (Shotgun) J.Flacco pass short middle intended for M.Campanaro INTERCEPTED by M.Hilton (R.Shazier) at PIT 32. M.Hilton to BLT 49 for 19 yards.,0.0
6297,2017100102,4418,4,00:10:00,4,3,PIT,4.0,SHOTGUN,"1 RB, 1 TE, 3 WR",5.0,3.0,"2 DL, 3 LB, 6 DB",9,26,9,26,False,4.0,I,,0,(:10) (Shotgun) J.Flacco pass incomplete short middle to C.Matthews (A.Burns).,0.0
6436,2017100106,3557,4,02:19:00,4,14,DET,14.0,EMPTY,"1 RB, 1 TE, 3 WR",3.0,3.0,"3 DL, 1 LB, 7 DB",7,14,7,14,True,14.0,I,,0,"(2:19) (Shotgun) C.Keenum pass incomplete short left to A.Thielen. Penalty on MIN-P.Elflein, Offensive Holding, declined.",0.0
6889,2017092410,3920,4,07:20:00,4,22,TEN,28.0,SHOTGUN,"1 RB, 1 TE, 3 WR",4.0,3.0,"1 DL, 5 LB, 5 DB",33,20,33,20,False,28.0,I,,0,(7:20) (Shotgun) R.Wilson pass incomplete deep right to J.Graham (L.Ryan) [J.Casey].,0.0
6899,2017092410,4171,4,03:20:00,4,6,TEN,46.0,EMPTY,"1 RB, 1 TE, 3 WR",3.0,4.0,"1 DL, 5 LB, 5 DB",33,20,33,20,False,7.0,C,7.0,14,(3:20) (Shotgun) R.Wilson pass short right to T.Lockett to TEN 32 for 14 yards (A.Jackson) [D.Morgan].,1.0
7037,2017100107,3181,4,09:59:00,4,3,CAR,38.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"4 DL, 2 LB, 5 DB",16,30,16,30,False,7.0,C,6.0,13,(9:59) (Shotgun) T.Brady pass short right to R.Gronkowski to CAR 25 for 13 yards (S.Thompson).,1.0
7055,2017100107,3614,4,03:14:00,4,1,CAR,1.0,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,4.0,"4 DL, 2 LB, 5 DB",23,30,29,30,False,1.0,C,0.0,1,"(3:14) (Shotgun) T.Brady pass short middle to D.Amendola for 1 yard, TOUCHDOWN.",1.0
7247,2017092409,865,1,00:56:00,4,1,PHI,47.0,SINGLEBACK,"1 RB, 1 TE, 3 WR",7.0,,"4 DL, 2 LB, 5 DB",0,0,0,0,False,,,,2,(:56) C.Wentz up the middle to PHI 49 for 2 yards (D.Tomlinson).,1.0
7275,2017092409,1627,2,02:36:00,4,8,NYG,43.0,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,4.0,"3 DL, 3 LB, 5 DB",7,0,7,0,False,,S,,-6,(2:36) (Shotgun) C.Wentz sacked at NYG 49 for -6 yards (D.Kennard).,0.0
7285,2017092409,2034,2,00:24:00,4,1,PHI,1.0,SINGLEBACK,"1 RB, 2 TE, 2 WR",9.0,,"4 DL, 3 LB, 4 DB",7,0,7,0,False,,,,-1,(:24) O.Darkwa up the middle to PHI 2 for -1 yards (J.Walker; V.Curry).,0.0
